frame.number,frame.time,frame.len,tcp.len,eth.src,eth.dst,ip.src,ip.dst,ip.len,ip.proto,_ws.col.Info
"14","Feb 10, 2020 21:50:44.835041196 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"15","Feb 10, 2020 21:50:44.835047323 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"16","Feb 10, 2020 21:50:44.835065544 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"17","Feb 10, 2020 21:50:46.832655378 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"18","Feb 10, 2020 21:50:46.835163998 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"19","Feb 10, 2020 21:50:46.835170504 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"20","Feb 10, 2020 21:50:46.835172730 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"21","Feb 10, 2020 21:50:46.910022855 IST","50",,"68:ff:7b:9c:eb:36","01:00:5e:00:00:01","192.168.0.1","224.0.0.1","36","2","Membership Query, general"
"22","Feb 10, 2020 21:50:47.013509257 IST","167",,"c0:ee:fb:55:67:a9","01:00:5e:7f:ff:fa","192.168.0.100","239.255.255.250","153","17","M-SEARCH * HTTP/1.1 "
"23","Feb 10, 2020 21:50:48.241867049 IST","54",,"30:e3:7a:0d:3a:86","01:00:5e:00:00:16","192.168.0.110","224.0.0.22","40","2","Membership Report / Join group 239.255.255.250 for any sources"
"24","Feb 10, 2020 21:50:48.832876970 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"25","Feb 10, 2020 21:50:48.835397183 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
